ir,description,widget_type
about,jump to about page,
account_address,jump to address management page,
account_signin,jump from account screen to sign in dialog/screen,
add_cart,add item to cart,
address_add,jump to add new address,
address_city,city input field or selection,input
address_phone,phone number input field,input
address_save,save address,
address_state,state input field or choose the state,input
address_state_spinner,open the spinner to select a state,
address_street,street input field,input
address_zip,zipcode input field,input
back,back button,
bypass,go to the app without an account,
cart,jump to the shopping cart,
cart_quantity,enter the quantity of the item in the cart,input
cart_quantity_0,choose 0 quantity of the item in the cart to remove the item,
cart_remove,remove item from the cart,
cart_remove_confirm,confirm removing item from the cart,
cart_select_all,select all items in the shopping cart,
cat_1,choose first category,
category,jump to categories,
contact,jump to the contact page,
contact_name,contact name input field,input
filter,jump to filter options for the search result,
filter_color,choose short by colors,
filter_done,apply the chosen filter,
filter_price,choose sort by price,
filter_rating,choose rating filter,
filter_sort,choose sort filter,
get_started,click get started,
help,jump to help page,
home_signin,jump from home screen to sign in dialog/screen,
home_signin_or_signup,jump from home screen to sign in or sign up,
home_signup,jump from home screen to sign up dialog/screen,
item_1,jump to the first item's detailed page,
legal,jump to the legal terms page,
menu,jump to main menu,
menu_account,jump to account or profile page in the menu/tabs,
menu_more,more info,
menu_settings,jump to app settings,
menu_signin,jump to sign in/up screen from the menu screen,
minus,substract the amount,
perms_allow,allow permissions,
search,search item and go to the search results,
search_bar,search bar that takes the input of searching keyword,input
sign_in,sign in button to submit the inputs,
sign_up,sign up button to submit the inputs,
continue,next button,
signin_email,email filed when signing in,input
signin_forget_pwd,forget password,
signin_password,password field when signing in,input
signin_tosignin,jump from sign in dialog to sign in screen based on the chosen sign in method,
signin_tosignup,jump from sign in screen/dialog to sign up screen based on the chosen sign up method,
signin_username,username field when signing in,input
signup_business,sign up for a business account,
signup_confirm_email,confirm email input field when signing up,input
signup_confirm_password,confirm password input field when signing up,input
signup_firstname,first name field when signing up,input
signup_lastname,last name field when signing up,input
signup_personal,sign up for a personal account,
signup_tosignin,jump from sign up to sign in,
signup_tosignup,jump from sign up screen/dialog to sign up screen based on the chosen sign up method,
skip,skip button,
to_home,jump to home page,
to_search,go to search screen,
signin_by_email,choose to sign in by email,
save_bookmark,saves item as bookmark,
remove_bookmark,removes item from bookmarks,
menu_bookmark,go to bookmarks/favorite page,
menu_textsize,go to text size page,
change_textsize,apply textsize changes,
keep_signin,keep the user logged in (e.g. a checkbox),
multi_form,form to fill with multiple fields,input
signin_amazon,go to the page to sign in with Amazon account,
signin_google,go to the page to sign in with Google account,
pick_google_account,choose the google account to sign in inside the signin_google screen,
captcha_input,input field for captcha in the pwd_assistant screen,
